bstopid,bstopnm,gpsx,gpsy,geometry,index_right,EMD_CD,COL_ADM_SE,EMD_NM,SGG_OID
205480201,복음병원입구,128.893560949083,35.227640066278,POINT (372390.2102317599 293993.4068653041),,,,,
205510201,김해시청,128.890221618602,35.227357900515,POINT (372086.7556535409 293956.30303653516),,,,,
205520101,김해시청,128.890302847298,35.226888550504,POINT (372095.14315662906 293904.3623584058),,,,,
205520201,한솔병원,128.887295947152,35.227057388889,POINT (371821.00230287283 293917.88954893075),,,,,
205540201,부원역,128.883572497669,35.226697361963,POINT (371482.73294423986 293871.5016272027),,,,,
205550101,부원역,128.883661087307,35.226233269187,POINT (371491.77615812304 293820.1566074987),,,,,
205570101,금강병원,128.882432444603,35.227395113296,POINT (371377.46067892725 293946.9590561454),,,,,
205570201,금강병원,128.88259465679,35.228351736747,POINT (371390.21769731934 294053.39075606345),,,,,
205600101,중앙지구대,128.88208624794,35.229754110847,POINT (371340.9771171609 294208.127583406),,,,,
205600201,중앙지구대,128.882296241041,35.230013577431,POINT (371359.55091211235 294237.2817373825),,,,,
205620101,신한은행,128.881707899107,35.231901784041,POINT (371302.0122030475 294445.7911855131),,,,,
205620201,신한은행,128.88186871114,35.232559579273,POINT (371315.2700120356 294519.0609526493),,,,,
205630301,동상동,128.883499277883,35.233853878583,POINT (371461.0013652238 294665.49815597537),,,,,
205630401,김해도서관,128.874131251026,35.232467322674,POINT (370611.0013650841 294495.4981548554),,,,,
205630402,수로왕릉,128.878492871511,35.232994472249,POINT (371007.0013650653 294561.49815544236),,,,,
205630403,분성사거리,128.880475442586,35.233234033102,POINT (371187.0013651275 294591.4981556237),,,,,
205640101,국민은행,128.881348276321,35.233964352247,POINT (371264.9327243235 294674.04359028436),,,,,
205650201,농협김해시지부,128.881398217144,35.235123477913,POINT (371267.04200306884 294802.75218384207),,,,,
205660101,농협김해시지부,128.881033918126,35.235843993761,POINT (371232.36027266376 294882.0757646448),,,,,
205690101,김해여고,128.879691952246,35.239160008007,POINT (371103.21755900944 295247.72330840485),,,,,
205690201,김해여고,128.879512800684,35.239815075415,POINT (371085.5315749902 295320.10409165226),,,,,
205710201,청소년문화의집,128.878439877285,35.24134365402,POINT (370984.64539809205 295487.8740044216),,,,,
205720101,청소년문화의집,128.87820737712,35.241266075976,POINT (370963.64244941075 295478.86502251256),,,,,
205740201,광남백조아파트,128.87527710685,35.245973948048,POINT (370687.0125524816 295996.2306183616),,,,,
205750101,광남백조아파트,128.875115262358,35.24574014238,POINT (370672.76992382004 295970.00799001707),,,,,
205760201,구산동,128.873972006187,35.247809040059,POINT (370564.3635477737 296197.6177701622),,,,,
205770201,구산동,128.873779072195,35.247717318865,POINT (370546.99322107167 296187.10831328476),,,,,
205770301,현대병원,128.87212912644,35.248959082255,POINT (370394.2016811372 296322.06622666976),,,,,
205770401,구산로타리,128.873197007874,35.24772083397,POINT (370494.00136847387 296186.49815103825),,,,,
205770402,백조아파트후문,128.872765402919,35.245195187163,POINT (370460.0013678967 295905.4981516224),,,,,
205770501,구지마을,128.870149049473,35.256590583031,POINT (370198.00137042743 297165.4981485096),,,,,
205770502,매정마을,128.871310364031,35.253580693606,POINT (370310.001369745 296833.4981494383),,,,,
205770503,구산신주공아파트,128.872397209525,35.250680087727,POINT (370415.00136911543 296513.4981502088),,,,,
205780101,초정,128.972904184018,35.24332978171,POINT (379579.9781555726 295875.10933264095),,,,,
205780103,대동면행정복지센터,128.980658197449,35.242253921595,POINT (380288.24991578807 295769.7831588467),,,,,
205790101,원지마을,128.982619684773,35.24161566192,POINT (380468.23190072435 295702.52232049755),,,,,
205790201,대동면행정복지센터,128.981248665295,35.242313269035,POINT (380341.87266051525 295777.44164204196),,,,,
205790202,초정,128.972849326363,35.243449487371,POINT (379574.7201347387 295888.29346539656),,,,,
205800101,마산입구,128.981561837291,35.238488039602,POINT (380378.8568845411 295353.5352553494),,,,,
205810101,원지마을,128.982796209019,35.241565664951,POINT (380484.41303712793 295697.29530616256),,,,,
205810201,운하교,128.983691192775,35.236656630291,POINT (380576.77651975944 295154.1806669044),,,,,
205820101,안막1구,128.986995584777,35.236625640187,POINT (380877.68704330386 295156.758614511),,,,,
205820102,목욕탕입구,128.988909519563,35.236977984938,POINT (381051.1541398205 295199.3470061816),,,,,
205820103,대동농협,128.990776843695,35.237383532078,POINT (381220.2578453792 295247.7574244551),,,,,
205820201,운하교,128.98368789978,35.236791249361,POINT (380576.17819799215 295169.1129944471),,,,,
205820202,마산입구,128.981739416999,35.238457800585,POINT (380395.0908858316 295350.5024660435),,,,,
205830201,대동농협,128.990694580255,35.237525526851,POINT (381212.45240282046 295263.36403034144),,,,,
205830202,목욕탕입구,128.988869514589,35.237093433042,POINT (381047.2553019119 295212.0850139678),,,,,
205830203,안막1구,128.986492827062,35.236714416464,POINT (380831.7173133696 295165.6937880619),,,,,
205840101,대동중학교,128.993482259287,35.237412475181,POINT (381466.50057796045 295255.9122595818),,,,,
205850101,안막3구,128.994535520336,35.236791974554,POINT (381563.7753857814 295188.9830474055),,,,,
205850102,대동보건소,128.993879570006,35.234420323561,POINT (381509.34174800874 294924.60703119705),,,,,
205850201,대동중학교,128.993469550344,35.237564381027,POINT (381465.0050060649 295272.74564474006),,,,,
205860101,안막3구,128.994689428272,35.236745480606,POINT (381577.8912987597 295184.1052820073),,,,,
205880101,현대병원,128.871315077837,35.248652753082,POINT (370320.74210096005 296286.67683306686),,,,,
205910101,연지공원,128.867654304742,35.24698571553,POINT (369990.9923461169 296095.41679740686),,,,,
205920201,연지공원,128.866933227321,35.246225748893,POINT (369926.9394954854 296009.85216832155),,,,,
205940301,김해문화의전당,128.870181082207,35.244595321856,POINT (370226.00136786315 295834.4981513301),,,,,
