EMD_NM,버스정거장수,버스노선수,지하철역수,인구수,EMD_CD,centroid_lon,centroid_lat,교통지수
대항동,11,36,0,698,26440122,128.830801602008,35.00816387963932,0.5673352435530086
덕천동,78,468,4,34169,26320104,129.0101285876177,35.215040797821224,1.0718487517925606
덕포동,49,310,2,23716,26530103,128.98845456432076,35.174645298693015,0.6430258053634677
동광동1가,1,38,0,135,26110111,129.03569578872836,35.099107095228824,0.2814814814814815
동광동3가,1,12,0,126,26110113,129.0340186719108,35.10166607642303,0.09523809523809523
동광동5가,4,14,0,2009,26110115,129.03395362160106,35.10749145917376,0.027874564459930314
동대신동1가,10,62,0,5285,26140101,129.0222308976644,35.10998895275683,0.1173131504257332
동대신동2가,19,62,1,6611,26140102,129.02314687971287,35.113378033638895,0.18272576009680835
동대신동3가,35,144,0,7231,26140103,129.02162121749416,35.12371753521985,0.6969990319457889
동삼동,149,796,0,41811,26200121,129.07452290703935,35.070834816372034,2.8366697758962953
동선동,5,20,0,1026,26440118,128.83753496847703,35.045347991261,0.09746588693957114
두구동,31,118,0,1571,26410101,129.1110250538226,35.29143756574832,2.328453214513049
만덕동,116,478,1,60050,26320103,129.03852638898718,35.21377074869123,0.9238634471273939
망미동,78,298,0,35925,26500101,129.10470515535746,35.172962256937495,0.6470146137787056
명륜동,51,300,0,26253,26260107,129.08508951451995,35.21094119492951,0.5827905382242029
명장동,74,294,1,27095,26260101,129.10255945151297,35.207019830427505,0.8040597896290829
명지동,240,1378,0,84346,26440104,128.91327693341904,35.102531845803256,3.920992103952766
모라동,76,486,1,35374,26530102,129.00110866140375,35.18457752625813,1.045004805789563
문현동,87,328,3,44202,26290109,129.07266579914466,35.14093784524541,0.6476177548527215
미음동,45,130,0,72,26440115,128.85918047143912,35.1528326251085,81.25
민락동,38,208,1,27495,26500103,129.12558705186032,35.159709018357404,0.28856155664666305
반송동,50,258,2,33320,26350101,129.15245758342593,35.22627514346257,0.38895558223289317
반여동,128,620,0,68123,26350103,129.1315246190987,35.204938980749624,1.1649516316075335
범방동,41,168,0,1009,26440116,128.88054082353906,35.15648605954204,6.826560951437067
범일동,74,552,1,24745,26170104,129.0555838642131,35.13695176423917,1.6519700949686806
범전동,24,148,0,6272,26230105,129.06009779323176,35.16700466798712,0.5663265306122449
범천동,48,408,2,33682,26230104,129.05181748959382,35.14804717985562,0.5832195237812482
보수동1가,25,70,0,5812,26110120,129.02585750672327,35.10680554654325,0.3011011699931177
보수동2가,3,18,0,2273,26110121,129.02344571154595,35.105089369848386,0.02375714914210295
복천동,26,82,0,5435,26260105,129.08832518456313,35.20679321574363,0.3922723091076357
봉래동1가,1,2,0,1389,26200115,129.04022153952076,35.09443555868584,0.0014398848092152627
봉래동2가,7,22,0,2999,26200116,129.0428686313821,35.09462463186218,0.05135045015005002
봉래동3가,6,32,0,1830,26200117,129.0449795618222,35.0938860816497,0.10491803278688525
봉래동4가,9,72,0,4900,26200118,129.0489930138713,35.092120774883846,0.13224489795918368
봉래동5가,17,74,0,2468,26200119,129.05203288265147,35.093533865572724,0.5097244732576985
봉림동,43,170,0,924,26440108,128.89463581115237,35.16884943156334,7.911255411255412
부곡동,81,328,0,51074,26410109,129.09578959000785,35.232148325694915,0.5201863962094216
부민동1가,3,18,0,1259,26140109,129.02059289232608,35.10356402653674,0.04289118347895155
부민동2가,1,0,0,278,26140110,129.01932565627908,35.10366030773599,0.0
부민동3가,7,28,0,3066,26140111,129.016202460101,35.10375360559273,0.0639269406392694
부암동,64,294,0,43731,26230108,129.0381025944535,35.17205833448137,0.43026685875008575
부용동1가,2,16,0,1514,26140107,129.02096518690252,35.10652869703245,0.021136063408190225
부용동2가,2,20,0,1204,26140108,129.01761637511427,35.106482885827475,0.03322259136212625
부전동,56,624,3,21723,26230103,129.0579219982306,35.157383075007786,1.6127606684159645
부평동1가,1,4,0,686,26110123,129.02710989539756,35.10072795693807,0.0058309037900874635
부평동2가,4,28,0,1028,26110124,129.02575576269373,35.10058543269881,0.10894941634241245
