Unnamed: 0,bstopid,bstopnm,arsno,gpsx,gpsy,stoptype,버스노선수
4016,192890201,덕계마을,92234.0,128.91709345653,35.19415561511,마을,2.0
4017,192870201,덕포마을,92235.0,128.909504888322,35.192048309684,마을,4.0
4018,215210101,부산소프트웨어마이스터고,92236.0,128.904079710838,35.189159532266,마을,8.0
4019,214820202,차량등록사업소,92250.0,128.903675,35.087103333333,마을,2.0
4020,188990203,차량등록사업소,92251.0,128.903513333333,35.087286666667,마을,2.0
4021,210680101,덕두,92268.0,128.957060519549,35.179631720307,마을,2.0
4022,191700203,금호마을,92269.0,128.95821145436,35.16276942835,마을,4.0
4023,210350101,월포,92271.0,128.938491091109,35.157015775453,마을,2.0
4024,191370104,경일고등학교입구,92279.0,128.92408580613,35.113373255452,마을,10.0
4025,191370103,진목,92280.0,128.926496482176,35.112837273923,마을,12.0
4026,191810303,진목,92281.0,128.926721942929,35.11312804905,마을,10.0
4027,191810304,경일고등학교입구,92282.0,128.924235882683,35.113643219754,마을,10.0
4028,193070201,월포,92288.0,128.938334582687,35.157011989131,마을,2.0
4029,191710102,금호마을,92290.0,128.958889839602,35.163073214273,마을,2.0
4030,192120102,칠점입구,92291.0,128.939965422306,35.19844751885,마을,4.0
4031,192120101,공항상회,92292.0,128.94108527063,35.202203971603,마을,4.0
4032,192120103,평강사리마을입구,92293.0,128.942561693129,35.205497849138,마을,4.0
4033,214430202,평강대리,92294.0,128.942924602531,35.208167634699,마을,4.0
4034,214430201,평강대리1구,92295.0,128.943274754393,35.209790914552,마을,4.0
4035,192090104,평강농협,92296.0,128.947659987764,35.213073986053,마을,4.0
4036,192090103,평강,92297.0,128.949759377074,35.214455300947,마을,2.0
4037,192090101,부산교도소,92298.0,128.951536828251,35.215957918621,마을,2.0
4038,192090102,중리1구꽃동네,92299.0,128.955438900642,35.218345935698,마을,2.0
4039,176880101,우편집중국,92300.0,128.959545405574,35.219141290871,마을,2.0
4040,176880103,대저상리,92301.0,128.963180557145,35.219475447599,마을,2.0
4041,176880102,낙동중후문,92302.0,128.965902205427,35.219515122846,마을,2.0
4042,176870101,대저양수장,92303.0,128.970100179232,35.220409042627,마을,2.0
4043,176870102,동연정입구,92304.0,128.972482985689,35.22061199626,마을,2.0
4044,176850103,신촌회관,92305.0,128.980533447093,35.221023840955,마을,2.0
4045,176850102,신촌,92306.0,128.977730242686,35.220728599502,마을,2.0
4046,176850101,당리마을,92307.0,128.984468803093,35.220889183044,마을,2.0
4047,176840101,당리마을입구,92308.0,128.989981039807,35.220210263394,마을,2.0
4048,176860203,수문할매집,92309.0,128.990371210503,35.218481694813,마을,2.0
4049,210390301,변덕마을,92310.0,128.988368575251,35.214755037894,마을,2.0
4050,193130301,변덕초소,92311.0,128.986223584893,35.215478053492,마을,2.0
4051,193150201,강서고교,92312.0,128.983202754835,35.215440394898,마을,2.0
4052,193160301,대저1동사무소,92313.0,128.980552921031,35.215311912884,마을,2.0
4053,177190402,강서구청,92315.0,128.982939302387,35.212257741609,마을,6.0
4054,211820101,대저1동사무소,92317.0,128.981102398934,35.215365562123,마을,2.0
4055,193160101,강서고교,92318.0,128.98336738874,35.215375374758,마을,2.0
4056,193150101,변덕초소,92319.0,128.985790254903,35.215501663801,마을,2.0
4057,193130201,변덕마을,92320.0,128.987781355081,35.214843977997,마을,2.0
4058,210390102,수문할매집,92321.0,128.990573802119,35.217971554741,마을,2.0
4059,176860301,당리마을입구,92322.0,128.990847675574,35.220269951986,마을,2.0
4060,176830201,당리마을,92323.0,128.985344993995,35.220808175338,마을,2.0
4061,176830202,신촌,92324.0,128.978265412259,35.220816366327,마을,2.0
4062,176830203,신촌회관,92325.0,128.980582060079,35.221181455246,마을,2.0
4063,176850202,동연정입구,92326.0,128.972577325138,35.220714982585,마을,2.0
4064,176850201,대저양수장,92327.0,128.970102321403,35.220537538478,마을,2.0
4065,176870202,낙동중후문,92328.0,128.966671063724,35.220102031412,마을,2.0
4066,176870203,대저상리,92329.0,128.963288413083,35.219592745258,마을,2.0
4067,176870201,우편집중국,92330.0,128.959523581605,35.219248678076,마을,2.0
4068,176880302,중리1구꽃동네,92331.0,128.955567267256,35.218555395428,마을,2.0
4069,176880301,부산교도소,92332.0,128.95173619853,35.21625428661,마을,2.0
4070,176880303,평강,92333.0,128.949548663109,35.214453714993,마을,2.0
4071,191270301,평강농협,92334.0,128.947172047066,35.213391797423,마을,2.0
4072,192100402,평강대리,92335.0,128.943178196134,35.209862014701,마을,4.0
4073,192100401,평강대리1구,92336.0,128.942835546625,35.20827279818,마을,2.0
4074,211800302,평강사리마을입구,92337.0,128.942506467489,35.205687735355,마을,4.0
4075,211800301,공항상회,92338.0,128.941082552601,35.202512616371,마을,4.0
4076,192060301,조만포,92339.0,128.88905820762,35.162434454053,마을,8.0
4077,192500203,사구,92340.0,128.885631895182,35.158801717456,마을,8.0
4078,192500202,범방주유소,92341.0,128.884685330502,35.156328147154,마을,2.0
4079,191470201,렛츠런파크입구,92342.0,128.881062850128,35.15205853653,마을,8.0
4080,191490205,생곡입구,92347.0,128.880009988715,35.138024475765,마을,2.0
4081,191940106,생곡삼거리,92348.0,128.885795841562,35.136694152288,마을,4.0
4082,191940103,가리세입구,92349.0,128.890490995266,35.136128856122,마을,6.0
4083,191940109,장락,92350.0,128.893772325665,35.135120801351,마을,6.0
4084,191940108,성산,92351.0,128.89646194467,35.124222910051,마을,10.0
4085,191840101,노적봉능엄사 입구,92352.0,128.896605708623,35.120813086411,마을,8.0
4086,191350101,순아3구,92353.0,128.90314241328,35.118828899628,마을,8.0
4087,210430102,강서경찰서,92354.0,128.906643936306,35.117827704882,마을,8.0
4088,176770102,사취등,92355.0,128.915762521435,35.115500947562,마을,12.0
4089,191360302,사취등,92356.0,128.915149633026,35.115956047535,마을,12.0
4090,176770302,강서경찰서,92357.0,128.906807145805,35.118158043057,마을,8.0
4091,210440201,순아3구,92358.0,128.903738026533,35.119009978257,마을,8.0
4092,191350201,노적봉능엄사 입구,92359.0,128.896835370206,35.121037338232,마을,6.0
4093,188900107,성산삼거리,92360.0,128.894857900352,35.122419478077,마을,10.0
4094,188900108,성산,92361.0,128.8966403012,35.124093474725,마을,10.0
4095,188900109,장락,92362.0,128.894256312237,35.135394793937,마을,6.0
4096,188900103,가리세입구,92363.0,128.890720054208,35.136495557976,마을,6.0
4097,191940201,생곡삼거리,92364.0,128.885126315164,35.136630552819,마을,4.0
4098,211750102,렛츠런파크입구,92366.0,128.881693538588,35.152104336039,마을,8.0
4099,208180102,범방주유소,92367.0,128.884883259584,35.155678863512,마을,8.0
4100,192500101,사구,92368.0,128.886080185027,35.158621011324,마을,8.0
4101,192710101,지사휴먼시아아파트,92369.0,128.834189448845,35.150563482426,마을,8.0
4102,192640101,명동,92371.0,128.84469493737,35.144492431642,마을,8.0
4103,209900101,마음,92372.0,128.864687084651,35.134438311017,마을,6.0
4104,209900102,중곡,92373.0,128.871009565605,35.137827369423,마을,6.0
4105,191490102,녹산주민문화회관,92374.0,128.876343812605,35.144695535525,마을,2.0
4106,192500102,조만포,92375.0,128.889328937986,35.16213664846,마을,8.0
4107,191530101,해포,92377.0,128.899141088637,35.170257797073,마을,6.0
4108,191520401,통전,92378.0,128.901333644334,35.179360612926,마을,8.0
4109,191510303,죽림삼거리,92379.0,128.903591102483,35.192598919083,마을,4.0
4110,191510301,가락농협,92380.0,128.903091561911,35.194468536154,마을,2.0
4111,191510302,가락동행정복지센터,92381.0,128.901706245048,35.196047207651,마을,4.0
4112,191680103,용등,92382.0,128.902462364103,35.201487248203,마을,4.0
4113,191680102,식만,92383.0,128.910465487784,35.210302652935,마을,4.0
4114,191680101,시만,92384.0,128.91418326646,35.214622894981,마을,4.0
4115,205140101,중사도,92385.0,128.918494466966,35.217373392307,마을,4.0
4116,205150101,분도,92386.0,128.922491932083,35.219292836827,마을,4.0
4117,191660203,대저역,92388.0,128.960478631718,35.212904510905,마을,10.0
4118,191660204,강서체육공원역,92389.0,128.969735503375,35.211948441303,마을,10.0
4119,192080701,강서구청역,92390.0,128.98042275977,35.210875152711,마을,12.0
4120,205160201,분도,92392.0,128.922690557376,35.219504454139,마을,4.0
4121,205150201,중사도,92393.0,128.917591478767,35.217388013693,마을,4.0
4122,192170201,시만,92394.0,128.914086983704,35.214745245667,마을,4.0
4123,192170202,식만,92395.0,128.91036622003,35.210352839445,마을,4.0
4124,192170203,용등,92396.0,128.902617824228,35.201707390491,마을,4.0
4125,191680202,가락파출소,92397.0,128.90232937723,35.195127803968,마을,4.0
4126,191680201,가락농협,92398.0,128.902893136875,35.194368627816,마을,2.0
4127,191680203,죽림삼거리,92399.0,128.90338986677,35.192342557126,마을,4.0
4128,215320101,통전,92400.0,128.900825209895,35.179816609828,마을,8.0
4129,191520101,해포,92401.0,128.900133455229,35.1720875099,마을,6.0
4130,191480202,세산입구,92403.0,128.877553326106,35.148088197363,마을,2.0
4131,191490301,세산사거리,92404.0,128.873266646312,35.140809892783,마을,6.0
